name	edge_num	taxon	like_weight_ratio
seq51862	401	pin	0.278164
seq4736	341	pel_clade_A	0.420352
seq13267	341	pel_clade_A	0.5673
seq4262	320	pel_clade_A	0.333556
seq2495	322	pel_clade_A	0.295831
seq19707	341	pel_clade_A	0.56863
seq10166	341	pel_clade_A	0.396425
seq32367	341	pel_clade_A	0.313583
seq5637	341	pel_clade_A	0.501496
seq40388	322	pel_clade_A	0.374457
seq4366	341	pel_clade_A	0.262631
seq63642	341	pel_clade_A	0.299054
seq39963	322	pel_clade_A	0.757849
seq6319	315	pel_clade_A	0.848715
seq31293	341	pel_clade_A	0.304846
seq17066	315	pel_clade_A	0.385833
seq25999	303	pel_clade_A	0.142858
seq42784	306	pel_clade_A	0.415574
seq63540	306	pel_clade_A	0.350801
seq42623	303	pel_clade_A	0.142858
seq31927	306	pel_clade_A	0.350406
seq29403	303	pel_clade_A	0.142858
seq71	303	pel_clade_A	0.142858
seq183	306	pel_clade_A	0.665468
seq58005	303	pel_clade_A	0.142857
seq62959	303	pel_clade_A	0.142857
seq14106	458	pha	0.715542
seq56793	471	chr	0.317475
seq9618	300	dic	0.334525
seq4395	291	dic	1
seq12206	291	dic	1
seq9238	300	dic	0.394663
seq60802	300	dic	0.441152
seq2558	300	dic	0.51529
seq5501	300	dic	0.451453
seq19693	300	dic	0.445843
seq20394	291	dic	0.927757
seq6367	300	dic	0.929855
seq2263	301	dic	0.616647
seq18663	285	dic	0.738186
seq6762	531	rho	0.395434
seq41017	285	dic	0.757704
seq20544	287	dic	0.609473
seq16973	287	dic	0.432218
seq5431	282	dic	1
seq12953	282	dic	0.916714
seq4946	282	dic	1
seq20560	281	dic	0.142934
seq32379	277	dic	0.180955
seq642	281	dic	0.142935
seq8407	281	dic	0.142893
seq17248	270	dic	0.647774
seq5036	282	dic	0.334485
seq12619	282	dic	0.345473
seq18803	282	dic	0.33597900000000003
seq4550	282	dic	0.343573
seq18702	269	dic	1
seq34702	270	dic	0.333473
seq18610	270	dic	0.333471
seq4333	270	dic	0.773127
seq25825	270	dic	0.597536
seq11457	270	dic	0.333475
seq59999	270	dic	0.33347
seq25242	270	dic	0.33347
seq59020	270	dic	0.793642
seq39778	267	dic	0.987667
seq42154	286	dic	0.599829
seq19533	287	dic	0.45919
seq54259	287	dic	0.444404
seq21091	261	dic	1
seq7752	261	dic	1
seq1655	282	dic	0.979604
seq32621	529	chr	0.695972
seq59121	300	dic	0.888734
seq64704	529	chr	0.812636
seq4294	282	dic	0.809029
seq2354	282	dic	0.830504
seq42969	412	eus_clade_A	0.142857
seq8879	258	dic	0.170458
seq35829	260	dic	0.501458
seq39568	260	dic	0.528361
seq4805	260	dic	0.56093
seq18675	260	dic	0.531215
seq2466	258	dic	0.360195
seq23334	255	dic	1
seq64803	255	dic	1
seq29213	255	dic	1
seq11334	263	dic	0.761715
seq5080	263	dic	0.699244
seq55386	263	dic	0.410848
seq12881	286	dic	0.256751
seq35836	282	dic	0.251615
seq32154	282	dic	0.608241
seq14032	263	dic	0.483841
seq4466	263	dic	0.701838
seq41189	263	dic	0.458345
seq34594	263	dic	0.45855
seq55553	255	dic	1
seq61503	255	dic	1
seq54207	287	dic	0.300183
seq28244	255	dic	1
seq1273	263	dic	0.731216
seq28367	255	dic	1
seq12970	263	dic	0.669541
seq61674	263	dic	0.432595
seq30125	252	dic	0.142857
seq29271	255	dic	0.583905
seq2231	245	dic	0.463734
seq19609	245	dic	0.473962
seq751	245	dic	0.484501
seq22169	255	dic	0.5541
seq261	255	dic	0.81124
seq62812	249	dic	0.947334
seq3217	255	dic	0.432142
seq30200	255	dic	0.811082
seq7063	255	dic	0.812038
seq21566	255	dic	0.170731
seq28794	255	dic	0.23469
seq56010	255	dic	0.844821
seq41395	255	dic	0.239307
seq16905	255	dic	0.914662
