name	edge_num	taxon	like_weight_ratio
seq64473	731	str	0.985612
seq7499	731	str	0.988018
seq10974	731	str	0.982545
seq32351	731	str	0.970003
seq37894	728	str	0.381311
seq42145	731	str	0.363885
seq41554	728	str	0.323981
seq54829	731	str	0.27282
seq54801	731	str	0.23757
seq27259	728	str	0.35152
seq10817	731	str	0.578139
seq42005	731	str	0.266892
seq18823	728	str	0.901725
seq12307	724	str	0.34346
seq40731	724	str	0.343346
seq12514	728	str	0.944328
seq4571	724	str	0.389922
seq41719	723	str	0.144527
seq56557	728	str	0.98213
seq57542	731	str	0.881006
seq17884	731	str	0.612596
seq4959	724	str	0.361909
seq40611	731	str	0.231398
seq58124	731	str	0.805111
seq8351	731	str	0.80647
seq28984	728	str	0.293654
seq18118	731	str	0.322552
seq22703	731	str	0.491235
seq56544	731	str	0.353872
seq9139	731	str	0.535964
seq58889	722	str	0.20013
seq7257	728	str	0.583041
seq2040	728	str	0.985906
seq7468	723	str	0.533039
seq738	722	str	0.20013
seq42497	722	str	0.200119
seq58976	723	str	0.755572
seq465	722	str	0.20013
seq59528	728	str	0.6858
seq32207	728	str	0.773496
seq41775	719	str	0.661761
seq51865	714	str	0.614168
seq3192	719	str	0.368809
seq12954	714	str	1
seq5387	728	str	0.719099
seq51805	719	str	0.390951
seq54109	713	str	0.250103
seq58715	714	str	0.58287
seq16974	714	str	0.394371
seq53495	716	str	0.625651
seq24911	713	str	0.639719
seq60668	714	str	0.563317
seq39817	714	str	0.370777
seq4553	713	str	0.675561
seq28393	719	str	0.466476
seq6594	716	str	0.605816
seq11415	718	str	0.251508
seq42531	720	str	0.310811
seq25786	718	str	0.247888
seq17187	718	str	0.254822
seq52228	728	str	0.734872
seq5766	728	str	0.674611
seq10433	728	str	0.644529
seq63513	714	str	0.503912
seq62333	728	str	0.673463
seq57535	719	str	0.34626
seq31910	712	str	0.353044
seq63244	731	str	0.80188
seq56487	794	str	0.630508
seq7624	794	str	0.640343
seq18124	712	str	0.365301
seq6855	712	str	1
seq62926	731	str	0.829089
seq32208	916	vir	0.247135
seq42830	731	str	0.889224
seq63155	731	str	0.871727
seq35049	794	str	0.449581
seq42014	794	str	0.447557
seq42159	712	str	1
seq8216	731	str	0.748127
seq21222	731	str	0.497599
seq50978	731	str	0.924658
seq10971	830	rho	0.695362
seq18199	794	str	0.50578
seq13559	712	str	1
seq31393	731	str	0.470297
seq64833	794	str	0.557359
seq5362	712	str	1
seq9313	731	str	0.91569
seq37690	712	str	0.521047
seq33924	712	str	1
seq10250	782	str	0.214354
seq62665	711	str	0.731308
seq6351	711	str	0.989543
seq55570	711	str	0.983782
seq61249	711	str	0.983908
seq53853	711	str	0.986626
seq10102	711	str	1
seq41759	711	str	1
seq10268	711	str	0.965929
seq63729	712	str	0.96126
seq42560	711	str	1
seq5801	711	str	1
seq63642	712	str	0.470282
seq63744	712	str	0.695862
seq4366	710	str	0.71991
seq5637	710	str	0.429356
seq40681	712	str	0.674624
seq61069	710	str	0.334682
seq19707	710	str	0.438835
seq13267	710	str	0.778422
seq5149	710	str	0.500656
seq61231	711	str	0.912409
seq19403	712	str	0.615568
seq39775	710	str	0.494807
seq42747	711	str	0.903714
seq5540	710	str	0.587823
seq42053	710	str	0.377072
seq42612	711	str	0.333352
seq32367	710	str	0.345464
seq6581	710	str	0.33404
seq7879	712	str	0.334091
seq4736	710	str	0.553999
seq10822	712	str	0.783066
seq3259	706	str	0.493345
seq29605	706	str	0.484182
seq54279	699	str	0.200111
seq10166	710	str	0.514156
seq42784	697	str	0.214756
seq42623	693	str	0.200077
seq71	693	str	0.200099
seq63540	695	str	0.200049
seq183	697	str	0.817036
seq25999	693	str	0.200098
seq62959	697	str	0.23904
seq29403	693	str	0.200098
seq41594	708	str	0.267254
seq39963	692	str	1
seq6319	697	str	0.333393
seq4262	691	str	1
seq40388	691	str	0.742271
seq2495	691	str	0.71325
seq17066	691	str	0.580959
seq56883	872	vir	0.763954
seq22173	963	vir	0.688974
seq41660	923	vir	0.211052
seq31293	691	str	0.52621
seq6953	712	str	0.552969
seq65074	872	vir	0.564948
seq23578	882	vir	0.329515
seq60810	794	str	0.618962
seq56793	776	str	0.410897
seq57149	683	str	0.5124
seq19693	679	str	0.323708
seq20394	679	str	0.364422
seq12206	679	str	0.364439
seq9238	679	str	0.324537
seq4395	679	str	0.359959
seq2558	679	str	0.322866
seq60802	679	str	0.321691
seq5501	679	str	0.323705
seq8917	749	str	0.606838
seq5583	749	str	0.627412
seq54821	677	str	0.986193
seq6367	683	str	0.987938
seq59121	683	str	0.986471
seq7752	677	str	1
seq8879	683	str	0.289091
seq18200	677	str	0.864242
seq37818	677	str	0.982819
seq21091	677	str	1
seq1273	676	str	1
seq29546	677	str	0.606809
seq41189	676	str	0.392517
seq17248	676	str	1
seq61674	676	str	0.37736
seq20544	676	str	0.947132
seq7387	677	str	0.637173
seq26981	677	str	0.302234
seq2263	677	str	0.671345
seq64704	749	str	0.708598
seq5036	676	str	1
seq5431	676	str	1
seq12953	676	str	1
seq18803	676	str	1
seq2466	677	str	0.714779
seq41017	676	str	0.762982
seq34594	676	str	0.392533
seq4466	676	str	1
seq42154	676	str	0.568201
seq14106	677	str	0.764854
seq3020	749	str	0.269943
seq11334	676	str	1
seq4550	676	str	1
seq25506	677	str	0.73836
seq18663	676	str	0.777353
seq32621	749	str	0.70706
seq14032	676	str	0.409505
seq55386	676	str	0.365058
seq5080	676	str	1
seq12970	676	str	1
seq12619	676	str	1
seq4946	668	str	1
seq4294	668	str	1
seq1655	668	str	1
seq32154	668	str	1
seq2354	668	str	1
seq20560	666	str	0.142859
